SKU_ID,Design,Size,Color,Category_ABC,Demand_Monthly,Lot_Size,Reorder_Point,Avg_Inventory
SKU026,Jeans,M,Black,A,58,30,12,27.0
SKU025,Jeans,M,Blue,A,56,30,12,27.0
SKU006,T-Shirt,M,Black,A,167,18,10,19.0
SKU043,Dress,M,Black,A,83,20,8,18.0
SKU049,Dress,L,Black,A,82,20,8,18.0
SKU030,Jeans,L,Black,A,54,30,12,27.0
SKU007,T-Shirt,M,White,A,152,18,10,19.0
SKU037,Dress,S,Black,A,70,20,8,18.0
SKU046,Dress,M,White,A,70,20,8,18.0
SKU054,Dress,L,Blue,A,70,20,8,18.0
SKU029,Jeans,L,Blue,A,45,30,12,27.0
SKU022,Jeans,S,Black,A,44,30,12,27.0
SKU048,Dress,M,Blue,A,65,20,8,18.0
SKU034,Jeans,XL,Black,A,43,30,12,27.0
SKU044,Dress,M,Red,A,62,20,8,18.0
SKU031,Jeans,L,Gray,A,40,30,12,27.0
SKU052,Dress,L,White,A,58,20,8,18.0
SKU011,T-Shirt,L,Black,A,115,18,10,19.0
SKU055,Dress,XL,Black,A,57,20,8,18.0
SKU012,T-Shirt,L,White,A,110,18,10,19.0
SKU001,T-Shirt,S,Black,A,109,18,10,19.0
SKU027,Jeans,M,Gray,A,36,30,12,27.0
SKU040,Dress,S,White,A,54,20,8,18.0
SKU050,Dress,L,Red,A,53,20,8,18.0
SKU021,Jeans,S,Blue,A,35,30,12,27.0
SKU032,Jeans,L,Dark Blue,A,34,30,12,27.0
SKU015,T-Shirt,L,Red,A,100,18,10,19.0
SKU045,Dress,M,Navy,A,50,20,8,18.0
SKU058,Dress,XL,White,A,50,20,8,18.0
SKU009,T-Shirt,M,Navy,A,98,18,10,19.0
SKU028,Jeans,M,Dark Blue,A,32,30,12,27.0
SKU051,Dress,L,Navy,A,48,20,8,18.0
SKU038,Dress,S,Red,A,47,20,8,18.0
SKU010,T-Shirt,M,Red,A,92,18,10,19.0
SKU016,T-Shirt,XL,Black,A,92,18,10,19.0
SKU039,Dress,S,Navy,A,46,20,8,18.0
SKU008,T-Shirt,M,Gray,A,90,18,10,19.0
SKU033,Jeans,XL,Blue,A,28,30,12,27.0
SKU047,Dress,M,Green,A,42,20,8,18.0
SKU005,T-Shirt,S,Red,A,83,18,10,19.0
SKU056,Dress,XL,Red,A,41,20,8,18.0
SKU023,Jeans,S,Gray,B,26,25,10,22.5
SKU042,Dress,S,Blue,B,39,18,6,15.0
SKU060,Dress,XL,Blue,B,39,18,6,15.0
SKU053,Dress,L,Green,B,38,18,6,15.0
SKU014,T-Shirt,L,Navy,B,74,15,8,15.5
SKU013,T-Shirt,L,Gray,B,72,15,8,15.5
SKU041,Dress,S,Green,B,36,18,6,15.0
SKU002,T-Shirt,S,White,B,71,15,8,15.5
SKU035,Jeans,XL,Gray,B,23,25,10,22.5
SKU017,T-Shirt,XL,White,B,68,15,8,15.5
SKU019,T-Shirt,XL,Navy,B,66,15,8,15.5
SKU024,Jeans,S,Dark Blue,B,22,25,10,22.5
SKU036,Jeans,XL,Dark Blue,B,22,25,10,22.5
SKU003,T-Shirt,S,Gray,C,65,12,5,11.0
SKU018,T-Shirt,XL,Gray,C,65,12,5,11.0
SKU057,Dress,XL,Navy,C,31,15,5,12.5
SKU004,T-Shirt,S,Navy,C,60,12,5,11.0
SKU020,T-Shirt,XL,Red,C,53,12,5,11.0
SKU059,Dress,XL,Green,C,25,15,5,12.5
